CustomerID,Age,EmploymentStatus,AnnualIncomeUSD,FICOScore,LatePayments12M,MaxDaysPastDue12M,MonthsSinceLastDelinquency,AccountTenureMonths,UtilizationRatePct,PaymentHistoryScore,DefaultNext12M
IND0000001,48,Employed_FT,76132,682,0,0,89,89,43.7,93,0
IND0000002,39,Employed_FT,48722,595,0,0,24,24,42.9,74,0
IND0000003,50,Employed_FT,116696,693,0,0,94,94,22.7,94,0
IND0000004,62,Employed_FT,45337,474,9,35,0,87,48.4,37,1
IND0000005,38,Self_Employed,30848,669,0,0,84,84,18,87,0
IND0000006,38,Employed_FT,71581,335,12,143,0,40,56.6,0,1
IND0000007,63,Employed_FT,54949,456,10,174,0,26,45.1,29,1
IND0000008,52,Employed_PT,27093,627,0,0,52,52,41.3,68,0
IND0000009,34,Employed_FT,52472,742,0,0,111,111,8.6,99,0
IND0000010,49,Employed_PT,28738,785,0,0,109,109,5,100,0
IND0000011,35,Employed_PT,58982,668,0,0,23,23,30,86,0
IND0000012,34,Employed_FT,141710,774,0,0,78,78,20.1,100,0
IND0000013,44,Employed_PT,88150,779,0,0,172,172,0,100,0
IND0000014,18,Employed_FT,89030,643,0,0,4,4,32.8,84,0
IND0000015,18,Employed_PT,29980,602,0,0,3,3,33.2,68,0
IND0000016,33,Employed_FT,31827,665,0,0,39,39,23,76,0
IND0000017,27,Employed_FT,53956,667,0,0,41,41,43.4,81,0
IND0000018,45,Unemployed,40022,516,6,57,0,72,45.2,50,1
IND0000019,28,Self_Employed,51373,676,0,0,19,19,41.8,79,0
IND0000020,21,Student,30937,712,0,0,25,25,35.1,89,0
IND0000021,62,Self_Employed,87212,738,0,0,259,259,36,100,0
IND0000022,38,Employed_FT,19754,711,0,0,159,159,3,100,0
IND0000023,42,Self_Employed,112097,723,0,0,66,66,33.5,94,0
IND0000024,21,Employed_FT,98435,674,1,18,8,8,33.5,74,0
IND0000025,33,Employed_FT,61792,724,0,0,112,112,26.1,85,0
IND0000026,43,Contract,96618,651,1,38,29,227,27.1,59,0
IND0000027,25,Employed_PT,11782,590,4,45,9,31,38.5,67,1
IND0000028,46,Self_Employed,36283,781,1,7,53,269,12.6,100,0
IND0000029,33,Employed_FT,55338,404,12,69,0,88,51.6,19,1
IND0000030,37,Contract,69508,746,0,0,80,80,8.1,100,0
IND0000031,33,Unemployed,24241,495,7,47,0,37,51.4,50,1
IND0000032,67,Retired,58794,667,0,0,108,108,37.5,98,0
IND0000033,41,Employed_FT,39261,728,0,0,106,106,2.1,100,0
IND0000034,26,Employed_FT,55807,430,12,180,0,43,60.3,17,1
IND0000035,53,Employed_PT,43399,626,0,0,82,82,47.7,74,0
IND0000036,24,Employed_PT,10272,534,6,81,2,38,30.6,52,0
IND0000037,44,Employed_FT,64050,662,0,0,24,24,22.2,98,0
IND0000038,18,Unemployed,7716,581,3,59,0,3,41,62,0
IND0000039,22,Student,10792,764,0,0,9,9,30.4,98,0
IND0000040,44,Employed_PT,50495,798,0,0,69,69,0,100,0
IND0000041,51,Employed_FT,34053,553,0,0,117,117,62.9,55,0
IND0000042,43,Employed_FT,84500,759,0,0,56,56,32.4,88,0
IND0000043,39,Employed_FT,90484,801,0,0,85,85,23.8,100,0
IND0000044,37,Employed_FT,109477,741,0,0,55,55,21.3,98,0
IND0000045,20,Employed_FT,31770,560,3,34,10,10,51.4,64,0
IND0000046,31,Self_Employed,25996,645,0,0,49,49,17.3,82,0
IND0000047,35,Employed_FT,66052,616,2,41,14,41,46.8,67,0
IND0000048,56,Employed_FT,60858,725,0,0,173,173,31.4,99,0
IND0000049,46,Employed_FT,221395,612,3,71,6,118,44.3,46,0
IND0000050,18,Employed_FT,67312,682,0,0,4,4,35.9,80,0
IND0000051,46,Employed_PT,29515,530,3,43,8,190,63.8,49,0
IND0000052,36,Employed_FT,57339,652,0,0,116,116,43.2,88,0
IND0000053,32,Self_Employed,28133,616,0,0,21,21,46.4,64,0
IND0000054,50,Employed_FT,91416,693,0,0,108,108,27.9,88,0
IND0000055,55,Unemployed,11801,623,1,11,17,72,37,78,0
IND0000056,54,Unemployed,12927,687,0,0,118,118,28.3,93,0
IND0000057,29,Self_Employed,76392,723,0,0,71,71,18,100,0
IND0000058,37,Unemployed,15735,745,0,0,17,17,16.1,100,0
IND0000059,46,Contract,15534,331,12,119,0,104,70.7,10,1
IND0000060,55,Contract,80451,644,0,0,96,96,42.7,74,0
IND0000061,34,Self_Employed,39199,620,3,20,21,59,30,80,0
IND0000062,38,Employed_FT,63090,759,0,0,32,32,16.8,95,0
IND0000063,26,Employed_FT,88997,486,4,180,0,6,53.2,42,1
IND0000064,24,Employed_FT,117058,587,0,0,5,5,49.5,62,0
IND0000065,52,Self_Employed,27681,730,0,0,86,86,28.7,91,0
IND0000066,60,Employed_FT,75678,751,0,0,216,216,30.6,98,0
IND0000067,40,Employed_FT,76322,703,0,0,18,18,24.6,93,0
IND0000068,55,Employed_FT,38055,754,0,0,212,212,21.1,100,0
IND0000069,46,Employed_FT,100462,760,0,0,135,135,16.4,96,0
IND0000070,32,Self_Employed,72368,666,0,0,37,37,29.8,80,0
IND0000071,46,Unemployed,14116,672,0,0,123,123,47.8,77,0
IND0000072,63,Employed_PT,25075,722,0,0,111,111,5.5,100,0
IND0000073,40,Self_Employed,71686,537,0,0,11,11,66.5,61,0
IND0000074,63,Self_Employed,156695,819,0,0,235,235,13.7,100,0
IND0000075,18,Employed_PT,23314,364,12,180,2,3,56.5,4,1
IND0000076,53,Employed_FT,50458,627,0,0,86,86,46.4,81,0
IND0000077,42,Unemployed,9154,667,0,0,74,74,38,96,0
IND0000078,37,Employed_FT,75201,733,0,0,28,28,9.9,100,0
IND0000079,42,Employed_FT,49920,300,12,180,7,39,74.3,2,1
IND0000080,18,Employed_FT,83001,684,1,10,2,2,36.3,82,0
IND0000081,38,Employed_FT,55912,776,0,0,164,164,25.3,98,0
IND0000082,46,Employed_FT,43204,777,0,0,69,69,15.6,100,0
IND0000083,62,Employed_FT,82162,698,0,0,77,77,25,92,0
IND0000084,34,Employed_FT,48801,667,0,0,81,81,47.2,84,1
IND0000085,30,Employed_FT,81063,656,0,0,37,37,30.6,73,0
IND0000086,34,Employed_FT,60150,694,0,0,13,13,25,87,0
IND0000087,54,Self_Employed,102568,627,0,0,133,133,48.5,85,0
IND0000088,46,Contract,27265,587,3,63,9,97,50.6,59,0
IND0000089,34,Employed_FT,69455,717,0,0,34,34,14.1,85,1
IND0000090,48,Contract,36384,663,2,31,21,230,15.1,79,0
IND0000091,42,Employed_FT,39964,706,0,0,91,91,33.5,97,0
IND0000092,55,Employed_FT,49748,736,0,0,67,67,0,100,0
IND0000093,31,Employed_FT,51254,743,0,0,41,41,2.9,98,0
IND0000094,36,Self_Employed,156884,771,0,0,85,85,20.3,95,0
IND0000095,36,Employed_FT,41086,561,0,0,43,43,47.4,53,1
IND0000096,21,Employed_FT,29368,626,0,0,18,18,42.3,85,0
IND0000097,45,Employed_PT,34538,701,0,0,59,59,15.9,89,0
IND0000098,45,Employed_FT,67964,676,0,0,55,55,31.5,83,0
IND0000099,41,Self_Employed,49061,651,0,0,66,66,33.2,70,0
IND0000100,38,Unemployed,11771,751,0,0,84,84,27,96,0
IND0000101,21,Student,27278,793,0,0,20,20,22.5,100,0
IND0000102,35,Employed_FT,86504,695,0,0,74,74,44.6,80,0
IND0000103,36,Employed_PT,42042,659,0,0,66,66,38.6,93,0
IND0000104,30,Self_Employed,34919,726,0,0,56,56,19.8,92,0
IND0000105,39,Employed_FT,196350,596,0,0,71,71,59.5,65,0
IND0000106,47,Employed_FT,109648,726,0,0,9,9,14.8,95,0
IND0000107,67,Retired,66161,736,0,0,85,85,14,96,0
IND0000108,43,Employed_FT,36836,662,0,0,153,153,33.9,91,0
